sample_id,P10145,Q07011,Q02763,P80098,P29965,P01583,Q9BZW8,P01133,Q15389,P13232,P49763,P05231,Q9Y653,P13500,O95727,O14625,Q99616,P50591,P09038,Q07325,P01732,Q16790,Q8WXI7,P00813,P01730,P29474,P60568,O00182,P35968,P25942,Q14116,P20718,P43629,P01137,P09341,O43557,O95760,O43508,P01127,Q15116,P48023,P10747,Q99731,P80075,P13236,P40933,P09382,Q9NZQ7,P26842,P42830,P05113,P14210,P12544,P09601,P78423,P02778,P32970,P22301,Q9NP84,P55773,P06127,P10147,P09237,P05089,O76036,P07585,O75509,P43489,"Q29983,Q29980",Q92583,O15123,P21246,P48061,P01579,Q9UQV4,Q14790,O75144,P39900,O43927,Q9BQ51,P15692,P05112,P18627,P42701,P35225,P78556,P01375,Q13241,P10144,Q01151,"P29459,P29460",P09603,Unnamed: 93,Unnamed: 94
R21043080,4.45781,5.96975,6.93492,1.13007,6.36233,-2.789,5.58521,8.97022,7.73193,4.30486,7.00348,3.6142,1.05691,10.26735,5.00687,9.0723,8.38843,7.57448,2.50815,6.90192,8.62527,3.10649,1.65015,4.4739,3.86695,1.78619,0.08585,7.77966,7.32571,9.063,7.72713,5.17461,1.74908,8.38639,9.14464,4.19461,0.64399,8.27179,10.21223,4.49979,5.88178,0.52576,8.65002,7.64737,6.36814,3.38756,6.40308,4.3225,7.94477,10.75802,0.50457,8.06033,6.62632,10.67243,6.15579,9.36411,2.97392,2.69152,3.59589,9.49444,4.97268,5.715,9.11129,2.09508,3.20994,3.21311,7.05959,5.16262,1.04391,9.45464,5.4421,2.81621,0.89471,5.34096,4.13112,4.34128,4.83724,7.19357,8.43297,1.92893,7.99336,0.35193,2.08522,1.69827,0.88457,7.78088,2.52458,5.84836,4.57769,2.75268,7.88712,9.60943,plate1_1362562541.csv,Pass
R21043082,7.01402,4.90127,7.00197,2.21059,7.16754,-0.30806,5.83516,9.58341,8.80452,4.41108,7.07694,4.59402,1.4899,10.56337,4.64564,8.29109,9.02716,6.41089,3.13258,6.73341,8.76948,3.87208,1.96499,4.97294,3.31095,2.41827,0.04721,7.4177,6.82378,9.79782,8.29086,4.53576,0.98554,8.51382,8.80713,4.98307,0.37607,7.80705,10.30983,2.96971,4.7229,0.24399,9.30032,7.07743,6.27104,4.24353,6.66157,5.03593,7.35256,11.10913,0.63909,8.24914,6.06635,10.25332,5.85766,8.60705,2.83031,2.7581,3.57706,9.94824,4.17136,5.46125,9.40477,2.40463,3.08096,2.90404,6.80554,4.91579,4.78026,9.6326,4.59979,1.58934,0.93755,4.37477,3.74489,4.42748,4.40809,9.70814,7.85519,1.53529,8.3141,0.5559,1.83236,1.50778,0.84082,7.81948,2.07032,5.43966,3.71463,2.20223,6.57843,9.5424,plate1_1362562541.csv,Pass
R21043084,4.31216,4.75741,7.07396,0.65467,3.23386,-2.98602,5.62626,5.58625,6.78853,2.52983,6.92187,0.513,1.73317,9.52751,4.70133,6.40434,8.32387,6.98418,0.5309,6.4327,8.09271,4.44479,2.31699,4.49267,2.853,2.24537,-0.2209,7.44262,7.25652,8.73465,7.81442,3.90139,0.47711,7.58234,6.57428,3.08171,0.41388,8.22492,8.48377,4.13589,4.43978,0.37626,9.1225,6.26719,5.66465,4.11231,6.65438,4.22079,6.95572,7.33085,0.6735,8.14922,4.67596,10.66482,6.53819,7.32085,3.4595,2.87168,3.86427,10.44665,4.47733,5.06562,9.0332,2.77514,2.77358,3.69688,7.30869,4.21317,4.01059,8.31252,4.87777,2.0439,0.41266,1.1151,4.48717,3.02689,4.98788,6.83647,9.61538,1.81012,7.54228,0.24989,1.56685,1.02954,0.76236,9.33881,1.77712,5.86674,2.87648,1.91689,4.36244,9.18085,plate2_1362562385.csv,Pass
R21043086,6.04606,6.10761,6.96681,4.79464,7.3159,-2.01576,5.7923,9.47894,8.78732,5.09613,6.87688,3.3636,2.05509,10.19486,5.73921,7.93413,9.34243,7.78795,2.99571,9.03469,7.95968,3.86445,3.08612,4.38223,3.35558,2.0756,0.22622,7.22718,7.26685,9.60215,7.76477,5.17198,0.00144,8.28227,9.57262,4.50111,0.57281,8.38404,10.21876,4.42526,5.94241,2.90205,9.40894,7.38409,6.05896,3.91265,6.35543,4.53974,7.69132,11.54385,0.94045,8.52057,6.3489,10.69006,5.76761,10.1081,3.26948,3.90175,3.87794,9.25642,4.48962,5.36819,9.77638,2.67115,3.34951,3.07886,6.92462,5.37618,5.34079,10.41007,5.63084,2.48743,0.77155,5.49576,4.99901,5.53449,4.95502,8.71583,9.74212,1.73705,7.88859,0.70019,1.88673,1.41139,0.56241,7.03843,2.08074,5.84979,5.76307,2.29886,6.98399,9.59385,plate1_1362562541.csv,Pass
R21043088,5.10631,5.58494,6.98,2.17233,7.02095,-0.10224,6.04576,9.39313,8.69543,4.43728,6.76005,2.03549,0.79784,10.49985,4.59347,8.09655,9.07611,7.47296,3.06879,7.46551,8.51287,3.74352,0.70104,4.6422,3.04592,1.15068,-0.29415,7.42615,7.38352,9.24882,7.47075,4.48533,0.2681,9.14046,9.84641,4.68776,0.4901,8.45118,10.3955,3.83717,5.7971,0.57665,8.41848,8.01135,6.50534,3.67136,6.73174,4.3814,6.61283,11.24192,0.22449,8.42765,6.22754,9.89442,6.09325,9.71997,2.73451,2.0811,3.89116,9.38904,4.18983,5.59935,8.5085,2.63254,2.58702,3.51305,7.15132,4.75282,0.46735,9.95947,5.10841,2.23442,0.64071,4.9957,3.41924,6.90771,4.99096,7.69799,7.3328,1.58722,7.37761,0.03596,1.91022,1.23543,0.71208,9.01853,2.1314,5.4631,4.11713,2.01305,5.02955,9.26312,plate2_1362562385.csv,Pass
R21043090,5.42094,5.19901,6.5431,1.09887,5.53204,-2.43497,4.92007,7.85774,7.2361,3.42285,6.68812,5.55377,1.0379,10.86111,3.78754,7.29884,7.53537,6.56572,1.63671,7.49209,7.99733,4.62404,1.09738,3.94866,2.97988,1.68268,-0.35433,7.35858,7.24672,8.54863,7.64833,4.196,0.49068,7.4994,7.73633,4.49767,0.64187,7.70892,9.01389,3.18538,4.14865,0.25091,7.84338,4.96161,5.89205,4.25221,6.22058,4.13051,7.08973,8.84625,0.63909,8.84393,5.48534,9.54205,5.67098,8.66893,2.32635,2.74437,2.77124,10.12407,3.91918,5.38439,9.74833,2.21363,2.28653,3.48233,6.71707,4.57293,4.51266,8.47058,4.91114,1.70764,0.51742,6.53948,5.30925,3.66503,4.56647,8.31461,7.26762,1.66945,7.74074,-0.35574,1.29741,1.17812,0.36893,7.51636,2.28396,4.70906,3.8589,2.12723,5.55079,9.53088,plate2_1362562385.csv,Pass
R21043092,5.46838,5.14676,6.82353,2.15393,6.41111,-2.42127,5.32642,8.86213,8.38113,4.22306,7.08961,2.5834,1.20634,10.60801,4.17414,7.6204,8.97717,7.42237,2.90086,5.97576,8.13263,3.55266,0.70939,4.41142,3.39029,1.36679,-0.1282,7.09035,7.4644,9.21802,7.79039,3.90311,1.29597,8.85857,8.63523,3.84642,0.59857,8.3207,9.92533,3.54893,5.47223,0.41854,6.80457,6.78807,6.23909,3.90668,6.47532,4.05251,7.39832,12.17883,0.89928,8.31997,6.27102,10.87953,5.47165,8.2864,2.86448,2.21596,3.47489,9.57665,4.11158,5.51796,9.42785,3.16711,2.53356,3.08081,6.56894,4.34861,0.8256,9.54743,4.68118,2.4456,0.81985,6.46119,2.68029,4.05274,4.50315,8.08728,7.66902,1.45027,7.73956,-0.13044,1.58993,0.90759,1.58968,5.76743,1.65715,4.67931,3.90217,1.74543,5.82896,8.97208,plate2_1362562385.csv,Pass
R21043094,5.85231,6.11743,6.82273,1.01473,7.11875,-2.29219,6.5066,9.35461,9.10297,5.05938,7.17497,2.7796,1.60098,11.11049,6.04642,8.84547,9.17053,7.35868,3.41788,8.50717,8.71664,4.40094,3.12581,4.44076,3.34096,2.12914,0.06147,7.9429,7.52981,9.81651,8.16406,5.82847,0.92981,8.81509,9.2881,4.70178,0.62774,8.24702,10.11791,4.68527,5.2607,0.66803,10.10866,6.65342,6.54631,3.97323,6.97495,5.17956,8.48053,11.19593,0.54912,8.0317,6.33141,11.24911,6.32763,11.76005,3.74175,3.00695,3.46167,10.17293,4.62783,6.1652,9.17374,2.5759,3.43268,3.06523,7.15645,5.97885,4.49096,9.66703,6.04708,1.99276,0.69147,4.74727,4.5004,4.87659,5.09243,8.85883,10.00612,2.06361,8.15132,0.58313,1.56971,1.62226,0.42951,8.82017,3.06757,6.4325,4.54071,2.67405,6.45802,9.28716,plate2_1362562385.csv,Pass
R21043096,5.72444,5.7851,7.03752,2.83809,6.03643,-2.80754,5.21813,8.1718,7.79462,3.55337,7.36248,3.08116,1.15513,10.72593,4.11929,7.859,8.65181,7.47211,2.38909,9.23235,9.07602,4.04997,1.25754,4.67325,3.38223,2.10183,0.00504,7.55649,7.47156,9.21432,7.66717,4.33037,0.78303,8.41573,8.86414,4.11269,0.45285,8.03458,9.6061,4.10459,5.74203,0.56621,8.84324,7.81223,5.95503,3.91595,6.5782,4.66047,7.12681,9.47334,-0.03278,8.30591,5.84265,9.68259,5.9266,10.03508,2.36087,2.83798,3.96179,9.73259,4.52143,5.64397,9.05718,3.59011,3.2391,3.5709,7.14596,5.64833,4.66849,9.33374,6.01359,3.79952,0.94756,5.57167,5.38414,4.01708,4.78707,11.39649,8.71066,1.62654,7.9453,0.65483,2.03443,1.21779,1.17346,7.79784,2.24811,4.75335,5.26951,2.24519,7.02721,9.44437,plate1_1362562541.csv,Pass
R21043098,5.64556,5.75855,7.06014,1.84554,7.66312,-2.3483,5.8742,8.88068,8.48448,4.34069,7.21665,2.21417,1.37681,11.12427,4.47176,9.14135,10.53368,7.70529,2.89111,6.9211,6.86493,4.18252,0.89232,4.98364,3.85801,2.55512,-0.48294,8.31448,7.33352,9.70923,9.55382,4.80801,2.06707,8.82321,9.60704,3.87815,0.67384,8.23104,10.22624,4.16237,5.22693,0.66171,10.60823,7.34095,7.35055,4.39051,7.00714,4.86452,7.60998,11.12074,0.4686,8.33789,5.63322,11.50785,5.95191,9.00256,3.05755,3.19589,3.83425,10.00925,4.45803,6.43815,9.3901,3.49,2.78488,3.53558,7.35582,5.21378,3.56415,10.48842,5.4475,2.61893,0.93852,4.44724,5.57237,6.12373,5.10925,8.72505,8.12661,1.86533,8.61868,0.19568,1.74271,1.22637,0.23342,6.11502,2.14414,5.43801,5.11319,3.11624,5.81944,9.25902,plate1_1362562541.csv,Pass
R21043100,6.75947,5.39804,7.13452,3.0144,7.58033,-2.04809,5.72182,9.80874,8.8609,4.55182,6.86796,3.70197,1.9165,11.33762,4.05047,9.51305,9.49573,7.4334,2.51141,7.88051,8.77439,3.83585,2.79839,5.00529,3.25205,2.35584,0.17751,7.90657,7.41998,9.69072,7.96953,4.98669,1.91221,9.3289,9.36743,5.30996,0.53929,8.22271,10.33655,4.00542,5.69215,0.38199,8.98336,8.41796,6.79627,4.21293,6.31781,4.9021,7.38382,11.24613,1.19279,9.10745,6.29831,10.71362,5.75356,10.15085,2.56909,2.88408,3.62786,10.2122,4.83923,7.77054,9.25504,3.18874,2.80228,3.35094,6.94866,4.88275,4.58219,9.05951,5.84528,2.93047,0.94148,7.82049,5.52583,5.13003,4.57766,9.86658,8.19503,1.40334,8.53484,0.45438,1.98541,1.38962,0.58387,7.04384,2.24286,5.08845,6.23973,2.57823,6.67923,9.49243,plate2_1362562385.csv,Pass
R21043102,6.22758,5.68328,7.65732,2.20208,8.53376,-1.04989,5.9463,10.15143,9.52162,5.01458,6.92449,3.10178,1.21408,10.99216,4.32387,10.69943,9.04884,7.41194,3.46351,8.0502,7.7895,3.90669,1.13457,4.71039,3.30228,2.33574,-0.62403,7.79426,7.65807,10.20553,8.02736,5.19882,1.48667,9.16174,9.3842,5.10136,0.75925,8.19525,10.50277,3.80227,5.49949,0.51564,9.04347,8.40241,6.90357,4.00645,7.17225,5.28774,7.1753,11.09431,2.98729,8.47095,6.38041,9.87194,5.66602,10.50437,2.96551,2.99246,3.20053,10.17513,4.12722,5.9962,9.3218,2.53759,2.62726,3.06178,6.92276,4.684,4.99516,10.88725,5.34475,1.918,0.97514,6.63747,4.25233,5.14738,4.78515,9.61278,7.94057,2.06382,8.71534,0.07601,1.81667,1.06537,0.28098,6.53129,2.50206,5.16873,4.64984,1.95247,6.68195,9.60443,plate1_1362562541.csv,Pass
R21043104,5.14723,5.9734,7.27137,1.49424,6.33328,-2.40408,6.00219,8.45467,7.25252,4.08426,7.2173,2.4265,0.95453,10.78036,4.4185,8.30402,8.85241,7.60367,2.35255,7.93291,9.30576,4.07955,3.77933,4.30748,3.72932,2.11597,-0.43808,7.79102,7.6408,9.65394,7.57355,4.1264,0.22787,8.65866,8.87638,3.92529,0.49968,8.55235,10.15975,4.15525,5.88902,0.35792,9.5731,7.92663,6.86281,3.84588,6.55003,4.89989,8.10996,11.206,0.07299,8.04425,6.3099,10.23545,6.45431,9.35672,3.60437,3.05784,3.71391,10.31432,4.44552,6.32828,10.13679,2.72927,3.96601,3.42334,7.60596,5.49323,0.22539,9.34144,5.27758,1.56494,0.84247,6.4685,4.3647,5.84512,5.68426,6.32849,8.81074,2.15324,7.22782,-0.37649,1.83231,1.50697,0.11702,5.84281,2.8972,5.47377,4.44994,2.53572,6.661,9.30441,plate2_1362562385.csv,Pass
R21043106,6.18564,5.59634,7.4263,2.50707,7.76743,-2.29542,6.30037,9.75977,9.17777,4.65239,7.06022,3.76318,1.44422,11.4134,5.91478,9.99996,9.34363,7.74047,3.91737,7.21121,9.49293,2.63658,0.12257,4.62593,3.62825,1.99861,-0.86986,7.53818,7.61238,9.8872,7.95599,5.21229,1.00229,9.12195,9.72174,4.76759,0.5692,8.7377,10.4617,3.98791,6.28307,0.42437,8.70241,7.99294,6.93327,4.00384,6.70396,4.75676,7.48778,11.58909,0.49397,8.35261,7.01423,9.76757,6.55127,9.77601,2.8441,3.02934,3.50278,10.57507,4.93685,6.21453,10.10918,3.74875,3.29394,3.11551,7.06928,5.22233,4.7686,10.3008,4.51355,3.17041,1.29311,6.39732,4.69939,4.97216,4.75875,8.08592,8.57518,1.83792,8.75515,1.25714,1.84895,1.68775,0.66778,6.90738,2.49448,5.87286,5.12229,2.48118,6.42976,9.65183,plate2_1362562385.csv,Pass
R21043108,5.93698,5.81135,7.59552,1.95573,8.34125,-1.95875,6.65578,10.87579,9.80981,5.47916,6.84501,3.71041,3.18999,10.86462,4.63911,9.53882,10.28768,7.67505,3.3856,7.02253,8.3322,4.90078,2.45982,5.116,3.11247,2.34654,0.15846,7.61953,7.71741,10.06419,8.92409,4.70403,1.63597,10.15196,10.43017,5.59604,0.68729,8.60609,10.62716,4.05345,5.50658,0.67219,9.57016,7.8062,6.76943,4.36685,6.87151,5.26254,7.62465,12.37238,0.70399,9.15086,5.84189,10.95069,5.98967,9.61696,3.39621,3.09526,3.7359,9.87942,4.67811,5.69933,9.47471,3.14965,3.24974,3.51932,7.20002,5.48552,4.14882,11.2678,5.37146,2.36687,1.00409,5.53489,4.9993,7.31542,5.01134,6.74933,9.29037,1.65601,8.41537,0.23281,1.93988,1.37264,0.9735,7.43757,2.46729,4.91424,4.84497,2.69614,6.45232,9.54054,plate1_1362562541.csv,Pass
R21043110,5.30643,4.83681,6.89381,1.31038,6.6648,-1.95993,5.752,8.91126,8.10109,3.92034,6.52775,2.26278,0.9541,10.29878,4.98645,8.49236,8.30513,7.16891,3.18647,6.99362,7.66962,3.72505,0.8167,4.43773,2.86997,1.42285,-0.05895,6.93792,6.9415,8.66622,7.98126,4.49622,0.50944,8.31221,9.24097,3.37804,0.44221,8.23224,10.03687,3.36708,5.42539,0.25554,7.34498,6.40737,5.69136,4.03441,6.28144,4.02987,7.30958,9.92501,0.1345,8.40812,5.86598,10.24583,6.05826,8.78447,2.69856,1.75298,2.90377,9.14068,4.02934,4.66952,8.23971,3.96374,2.29865,2.97741,6.7102,4.84461,3.01446,10.53753,4.77237,2.61893,0.76468,4.84886,3.53665,4.25622,4.50733,7.71505,7.31687,1.42162,7.15217,0.46191,1.27972,1.01594,0.49316,6.48937,1.79618,5.38376,4.36384,1.77665,5.45635,9.02585,plate2_1362562385.csv,Pass
R21043112,6.39481,5.41867,7.01202,1.84554,6.95431,-2.57571,5.65866,9.03018,8.75386,4.41224,7.04904,1.642,1.59172,10.7234,4.36558,8.72012,9.0975,7.25781,2.64998,7.65782,7.63423,5.77727,1.50598,4.70734,2.91809,1.71059,0.09574,7.28044,6.90355,9.32526,8.67151,4.39503,0.82945,8.75911,8.99777,5.19007,0.49156,8.27239,10.05944,4.07935,4.92424,0.36324,7.58579,4.99379,6.33168,4.03749,6.47072,4.95489,8.03836,10.03279,0.91187,9.16706,5.66318,10.85508,6.30198,8.90058,3.05565,7.28005,3.5894,9.45007,4.30877,5.40828,8.22856,4.20266,2.88664,3.57983,7.09037,4.86295,4.77308,9.75663,4.84793,3.97491,0.67885,4.12525,3.57672,5.47959,4.91836,7.59145,7.57634,1.64014,7.35124,0.16282,1.54247,1.47317,0.80912,8.10835,2.66708,4.82262,5.20667,2.17612,5.38487,9.13682,plate2_1362562385.csv,Pass
R21043114,6.07198,5.20853,7.1589,1.83582,6.45822,-2.3483,5.11252,8.61336,7.5518,4.33485,6.89863,4.0174,1.12888,10.64382,4.93117,8.59368,8.77755,7.18526,3.00151,7.30426,9.0688,3.59924,2.60363,4.89481,3.05273,2.10688,-0.20177,7.70654,7.31732,8.88093,7.58593,4.90025,2.30856,8.27933,8.73716,4.98342,0.60311,8.23804,9.9992,3.36982,5.74456,0.55943,8.48512,7.2742,6.64578,3.99579,6.34813,4.614,7.18496,10.76569,0.42158,8.68626,6.50212,10.16354,5.90196,9.51165,3.18955,2.76075,3.10384,9.68718,4.54572,5.84012,8.22921,3.75153,3.0316,3.32441,6.79766,4.76718,4.52747,8.6694,5.11836,2.97231,0.76071,4.99892,5.02998,5.17598,4.58556,7.04876,7.43922,1.30648,8.11469,-0.12705,1.55857,1.57026,0.77737,5.72004,2.39714,5.40909,4.83011,2.552,6.20615,9.63448,plate2_1362562385.csv,Pass
R21043116,5.36897,5.14089,6.85484,2.13042,6.88828,-2.23346,6.01404,9.91497,8.70615,4.14777,6.9223,2.81825,3.95202,10.77077,4.38985,8.88612,9.22174,7.26533,2.32909,7.0517,8.48994,3.91591,0.40071,5.03448,3.44438,2.11285,-0.59621,7.45376,6.98131,9.40858,7.52645,4.85019,1.15135,7.86503,8.98298,4.75533,0.54041,8.42722,10.18639,3.8608,5.6339,0.46853,8.31882,7.9839,6.39499,3.81174,6.50693,4.76984,7.22276,11.79637,0.35942,8.61008,6.28161,10.00157,6.08041,9.79585,3.04124,2.51115,3.57382,9.36552,4.90475,6.12723,8.93844,3.64408,2.48007,2.98945,6.89863,4.87229,3.62968,9.66235,4.63636,3.06447,1.22773,6.96145,4.36138,4.22438,4.33074,7.22004,7.98978,1.65282,7.55005,0.59369,2.03126,1.33875,0.57897,7.21399,2.33326,5.2257,5.49134,1.97206,6.20469,9.12762,plate2_1362562385.csv,Pass
R21043118,5.68202,4.93924,7.09683,1.36779,6.71482,-2.30841,5.66819,9.55412,8.6438,4.53193,6.82326,2.2799,1.36752,10.99283,5.06366,8.07631,9.58427,7.38376,2.69644,7.00079,8.23624,3.98477,1.04523,4.8121,3.07963,1.93909,-0.16254,6.78117,7.15498,8.906,7.3906,4.66346,1.73084,8.87481,8.71007,4.46709,0.67326,8.41921,9.99616,3.38858,5.27873,0.50805,8.09558,7.39488,7.37915,3.78877,6.5701,4.36368,7.2556,10.64109,0.22769,8.58288,6.38794,10.05341,5.7261,9.40497,3.03948,2.16346,3.2559,9.35949,3.97236,5.45134,9.64596,3.99387,2.61011,3.46229,6.95451,4.71343,4.01059,9.87059,4.81027,2.3473,1.11048,4.56254,4.57379,4.65777,4.75783,9.67776,7.55806,1.41167,7.57838,-0.07373,1.73485,1.43807,0.52156,5.85342,2.19328,5.09155,5.24174,2.17141,6.12812,9.21444,plate1_1362562541.csv,Pass
R21043120,7.0946,6.53606,7.43976,2.5564,7.92274,-0.52832,6.77473,10.67101,9.35727,5.48385,7.68217,3.23123,1.65119,10.96699,6.03258,10.00927,9.74882,8.12238,4.13349,8.29089,9.08752,4.56564,0.85962,4.8348,4.07036,2.20943,0.21593,7.95103,7.9835,10.52093,9.04961,5.7048,2.14821,9.662,9.94625,5.8699,0.68105,9.09027,10.54291,4.46842,6.15521,0.76172,9.85548,7.94143,7.11546,3.83559,7.28865,5.33835,8.31067,11.97958,0.40169,9.04937,7.09141,10.19418,6.47582,11.16993,3.1907,3.14865,4.31337,11.00442,5.29294,6.33535,10.54221,2.81525,3.909,3.31776,7.36936,6.145,4.3989,11.37031,5.05057,2.57181,1.01679,6.04157,4.75552,6.40996,5.25004,11.5489,8.44187,2.17875,8.69645,0.79573,2.57321,2.00694,0.7645,7.84947,2.97287,6.55903,5.30589,2.83244,7.37038,9.67569,plate2_1362562385.csv,Pass
R21043122,6.18964,5.81446,7.04348,2.39117,7.30314,-2.16913,5.80786,10.15458,9.36726,4.95637,7.36456,2.58419,1.34203,11.01698,5.06434,9.12947,9.02964,7.57805,3.30856,7.4572,8.61504,4.54346,0.96479,4.94549,3.50485,2.14652,0.2473,7.7487,7.19303,9.52506,8.1039,4.67286,0.5364,9.4034,9.44609,4.96808,0.6905,8.46379,10.12828,4.42243,5.0652,0.3999,8.36755,7.95004,6.84114,4.01991,7.13841,5.08481,7.86925,10.83134,0.52134,8.62144,6.48229,10.25787,6.16818,9.67074,3.25441,2.74959,3.79581,9.15208,5.15773,5.86825,9.14215,2.73255,3.68242,3.57591,7.16273,5.52416,4.64889,11.15328,5.2963,1.94365,0.89635,5.7587,6.27918,5.08511,5.05772,8.35807,7.29206,1.81966,8.49332,0.17734,2.06835,1.65293,0.74777,6.6971,2.61263,4.97765,4.55857,2.67716,6.80123,9.57259,plate1_1362562541.csv,Pass
R21043124,6.63256,5.7011,7.66851,1.47451,3.20068,-2.69665,5.47167,5.59595,7.17681,3.05703,7.72104,1.9354,1.13646,11.38952,5.03611,7.69816,9.10527,7.82589,0.61507,7.09467,9.18254,5.15846,0.32792,4.9927,3.62706,2.35315,-0.28601,7.75266,7.79027,9.41093,8.25824,5.76783,3.05057,7.51439,6.27113,3.2568,0.36311,8.72686,8.74469,3.9753,5.31916,0.40907,8.37449,7.30192,6.9347,4.29621,6.87964,4.90319,7.76061,6.75041,0.68774,8.61916,6.89639,10.95492,6.84574,9.98428,3.65203,2.311,4.4761,10.2425,4.61695,5.54021,9.81677,3.64307,3.36827,3.74075,7.44237,5.91109,4.31704,8.42364,5.1913,2.41855,0.75789,6.17533,5.07259,3.52768,5.20745,7.77729,7.89589,1.75046,7.55735,0.27809,1.7304,1.28178,0.76038,5.86902,2.37065,6.12236,4.7009,2.81344,6.14299,9.40956,plate2_1362562385.csv,Pass
R21043128,6.19308,4.7246,7.45603,1.4042,8.25549,-2.4401,6.45423,10.33676,9.42431,4.80342,6.79206,2.69009,1.15768,10.87588,4.66421,10.44109,9.09145,7.35233,3.26748,7.46064,7.65136,4.10376,1.58138,4.98375,3.32592,2.06723,-0.13049,7.51361,7.61535,10.23053,8.56331,5.22951,0.42431,9.60467,9.7606,4.95953,0.55145,8.37054,10.42286,3.41409,4.31436,0.45855,7.27132,7.52441,6.96956,4.48381,7.08599,5.36498,6.85964,11.57334,6.33092,8.62129,6.0341,10.11601,6.47479,9.1501,2.95677,2.31802,3.18345,9.99315,3.8945,5.71878,9.65661,3.66281,2.06053,3.14889,6.95714,4.52815,0.44942,11.19356,5.7102,2.36742,0.82568,6.92313,4.95606,6.0836,4.85106,6.69642,8.38521,1.75212,8.6043,0.36519,1.44974,0.79102,1.06176,8.244,2.07357,5.16837,4.87032,2.18613,3.96177,9.05312,plate1_1362562541.csv,Pass
R21043130,4.68368,5.66285,7.03782,1.60948,7.61803,-2.69793,6.22076,9.56564,8.21011,4.62141,6.94665,0.9408,1.04668,10.70339,5.59189,8.63967,9.60971,7.56258,3.39572,7.60966,8.497,3.91725,0.49318,5.04767,3.30849,2.00028,-0.56103,7.64729,7.41199,9.63139,8.69631,3.65661,1.17182,8.72159,9.45104,4.99764,0.29576,8.34578,10.17572,3.97941,6.13085,0.46989,7.74433,6.7061,6.94099,3.5562,6.81723,4.78333,7.89829,11.49124,0.23552,8.30403,6.37792,10.96486,6.37453,9.68849,3.32676,2.52964,3.77588,10.03605,4.76106,6.05083,8.29455,3.7902,2.97261,3.31911,7.27381,4.83411,4.64075,9.52503,4.47846,2.47356,1.04461,6.2584,4.27036,5.19921,5.31577,6.09857,7.43987,1.52481,7.10998,-0.09669,2.01149,1.66896,0.68943,6.34822,2.37685,5.21995,4.1343,2.45382,6.75896,9.11203,plate1_1362562541.csv,Pass
R21043134,6.03991,5.4886,7.20891,1.93554,7.32027,-1.70299,5.79572,10.2231,9.57808,5.18899,6.73172,3.11314,1.37119,10.86525,5.02805,8.65096,9.27541,7.58782,3.38854,7.98046,8.70271,4.10293,0.68739,4.87061,3.19966,2.46736,-0.25227,7.56302,7.65916,9.11201,8.21819,5.67934,1.34272,9.6417,9.40029,5.36207,0.64645,8.42361,10.61191,4.08411,5.76715,0.28706,8.25181,7.96557,7.34998,3.75212,6.70046,4.73972,7.49269,11.66606,0.96807,8.65158,6.19609,10.56193,5.97836,10.0829,3.04706,2.23113,3.78037,10.01517,4.82815,5.89042,9.4153,3.56883,3.18692,3.52291,6.97426,4.69905,4.85373,10.38891,5.27206,3.39655,1.0887,5.62599,4.36679,6.30889,5.04441,7.10312,7.60148,1.7891,7.92022,0.31739,1.91372,1.2126,-0.36627,7.03542,2.29399,6.17034,5.18401,2.34428,5.61615,9.44558,plate1_1362562541.csv,Pass
R21043138,5.649,5.46672,6.95837,2.16439,7.33998,-3.11494,6.11161,9.60953,9.08695,4.63471,6.73735,1.18765,1.2956,10.47146,5.60222,8.40726,9.78094,7.50245,2.72753,6.92931,8.91988,4.19789,0.2438,4.72656,3.82881,2.17476,-0.02374,7.56756,7.62375,9.59454,7.90275,5.35996,1.71785,8.9179,9.29262,4.89265,0.53809,8.26497,10.24821,3.68968,5.38604,0.39693,9.91503,8.25587,5.79919,3.56546,6.75852,4.31667,7.71886,12.24369,2.09172,8.18816,6.48796,10.30064,5.70513,9.6866,3.19911,2.69119,3.61588,9.68552,4.67434,5.01319,9.93974,2.44459,2.05464,3.55852,6.87184,4.64465,4.26667,9.51926,4.49775,2.73332,1.00559,7.09665,3.83951,4.65777,4.92329,6.44767,7.91782,1.77008,8.01051,2.69398,2.05163,1.30469,1.93232,5.98077,2.19755,5.95931,4.16991,2.4361,6.35076,9.12568,plate2_1362562385.csv,Pass
R21043140,4.52146,6.01096,6.77803,1.24465,4.85763,1.0444,5.65055,7.41982,7.43959,3.0146,7.0527,2.15884,1.96532,10.30122,5.36736,8.04451,8.77059,7.62641,0.71778,6.86469,8.76437,3.77163,0.1475,4.09875,3.27303,2.50225,0.16539,7.55442,6.96755,8.90918,8.16445,4.94352,-0.0326,7.64527,8.12539,3.68072,0.66927,8.06,8.98635,4.30816,5.99411,0.54124,8.3111,7.51304,6.69069,3.74578,6.246,4.80272,7.9072,9.28338,0.88816,8.46973,6.29917,10.49922,5.85457,8.79281,2.7133,3.09608,3.91962,8.86142,4.75885,5.58092,8.945,2.51432,3.53359,3.17816,7.28011,5.44486,4.90461,8.41118,4.82255,1.95103,0.64089,4.80854,4.40378,3.54061,5.07322,8.01055,7.15122,1.72166,7.33839,0.15958,1.85123,1.50155,0.29709,5.88754,2.55725,5.81163,4.8201,2.34337,6.17123,9.14648,plate1_1362562541.csv,Pass
